amfi_code,scheme_name,alpha_pct,beta,r_squared
149324,DSP Small Cap Fund - Regular - Growth,29.6,0.0,0.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.59,-0.0,0.0
119598,SBI Small Cap Fund - Regular Plan - Growth,29.51,0.0,0.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,27.89,-0.0,0.0
120505,ICICI Pru Midcap Fund - Regular - Growth,27.82,0.0,0.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,26.51,0.0,0.0
120843,Kotak Flexicap Fund - Regular - Growth,26.07,0.0,0.0
149323,DSP Midcap Fund - Regular - Growth,26.02,0.0,0.0
119094,Axis Midcap Fund - Regular - Growth,25.49,0.0,0.0
119551,SBI Bluechip Fund - Regular Plan - Growth,22.21,0.0,0.0
118632,Nippon India Large Cap Fund - Regular - Growth,21.72,0.0,0.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,21.29,-0.0,0.0
101206,ABSL Frontline Equity Fund - Regular - Growth,20.85,0.0,0.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,20.29,0.0,0.0
119552,SBI Bluechip Fund - Direct Plan - Growth,19.18,0.0,0.0
118634,Nippon India Small Cap Fund - Regular - Growth,17.86,-0.0,0.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,17.48,0.0,0.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,16.95,0.0,0.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,16.87,-0.0,0.0
118633,Nippon India Large Cap Fund - Direct - Growth,15.95,-0.0,0.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,15.33,0.0,0.0
118635,Nippon India ETF Nifty 50 BeES,15.25,-0.0,0.0
102887,UTI Flexi Cap Fund - Regular - Growth,14.81,0.0,0.0
149322,DSP Top 100 Equity Fund - Regular - Growth,14.03,-0.0,0.0
120841,Kotak Bluechip Fund - Regular - Growth,12.42,0.0,0.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.07,0.0,0.0
101207,ABSL Small Cap Fund - Regular - Growth,10.99,-0.0,0.0
119093,Axis Bluechip Fund - Direct - Growth,7.61,0.0,0.0
120842,Kotak Emerging Equity Fund - Regular - Growth,7.47,0.0,0.0
119092,Axis Bluechip Fund - Regular - Growth,7.28,-0.0,0.0
119095,Axis Small Cap Fund - Regular - Growth,6.8,-0.0,0.0
120507,ICICI Pru Liquid Fund - Regular - Growth,6.72,0.0,0.0
120844,Kotak Liquid Fund - Regular - Growth,6.44,0.0,0.0
101208,ABSL Liquid Fund - Regular - Growth,6.12,-0.0,0.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.67,-0.0,0.0
119599,SBI Small Cap Fund - Direct Plan - Growth,5.15,-0.0,0.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,4.97,0.0,0.0
100025,HDFC Short Term Debt Fund - Regular - Growth,4.48,-0.0,0.0
100016,HDFC Top 100 Fund - Regular Plan - Growth,3.77,-0.0,0.0
102886,UTI Mid Cap Fund - Regular - Growth,3.19,-0.0,0.0
