amfi_code,scheme_name,cagr_3Y_pct,sharpe_ratio,alpha_pct,max_drawdown_pct,expense_ratio,rank_3yr,rank_sharpe,rank_alpha,rank_drawdown,rank_expense,composite_score
148567,Mirae Asset Large Cap Fund - Regular - Growth,33.99,1.16,27.89,-11.27,1.46,97.5,100.0,92.5,82.5,45.0,87.75
120505,ICICI Pru Midcap Fund - Regular - Growth,31.77,0.93,27.82,-18.19,1.36,90.0,92.5,90.0,40.0,65.0,81.88
120843,Kotak Flexicap Fund - Regular - Growth,29.58,1.03,26.07,-12.97,1.45,85.0,97.5,85.0,70.0,47.5,81.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.43,0.84,26.51,-16.22,1.38,92.5,85.0,87.5,52.5,60.0,80.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,32.48,0.74,20.29,-12.59,0.8,95.0,76.25,67.5,72.5,72.5,79.19
119094,Axis Midcap Fund - Regular - Growth,35.1,0.74,25.49,-20.96,1.38,100.0,76.25,80.0,32.5,60.0,77.31
148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.17,0.97,29.59,-16.4,1.6,82.5,95.0,97.5,50.0,11.25,74.69
119551,SBI Bluechip Fund - Regular Plan - Growth,30.45,0.92,22.21,-15.01,1.54,87.5,90.0,77.5,60.0,26.25,74.19
101206,ABSL Frontline Equity Fund - Regular - Growth,28.96,0.75,20.85,-11.29,1.6,80.0,80.0,70.0,80.0,11.25,67.69
149324,DSP Small Cap Fund - Regular - Growth,26.99,0.7,29.6,-31.17,1.52,77.5,71.25,100.0,10.0,36.25,67.5
119598,SBI Small Cap Fund - Regular Plan - Growth,26.66,0.7,29.51,-28.71,1.43,72.5,71.25,95.0,12.5,50.0,67.31
149323,DSP Midcap Fund - Regular - Growth,26.86,0.87,26.02,-17.25,1.61,75.0,87.5,82.5,47.5,7.5,66.75
118632,Nippon India Large Cap Fund - Regular - Growth,22.65,0.8,21.72,-17.41,1.51,67.5,82.5,75.0,45.0,41.25,66.56
119552,SBI Bluechip Fund - Direct Plan - Growth,16.26,0.67,19.18,-11.8,0.66,45.0,67.5,65.0,75.0,92.5,64.75
118633,Nippon India Large Cap Fund - Direct - Growth,21.08,0.38,15.95,-18.63,0.72,65.0,50.0,52.5,37.5,88.75,59.56
118635,Nippon India ETF Nifty 50 BeES,20.0,0.39,15.25,-11.65,0.89,60.0,53.75,47.5,77.5,70.0,59.19
125497,HDFC Top 100 Fund - Direct Plan - Growth,18.43,0.5,16.95,-15.2,0.92,55.00000000000001,57.49999999999999,57.49999999999999,57.49999999999999,67.5,58.25
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.74,0.65,21.29,-15.27,1.52,42.5,65.0,72.5,55.00000000000001,36.25,54.44
102885,UTI Nifty 50 Index Fund - Regular - Growth,19.66,0.53,15.33,-10.86,1.57,57.49999999999999,62.5,50.0,85.0,17.5,54.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,13.97,0.52,17.48,-13.9,1.42,40.0,60.0,60.0,67.5,52.5,53.62
120506,ICICI Pru Value Discovery Fund - Regular - Growth,18.42,0.39,16.87,-19.83,1.41,52.5,53.75,55.00000000000001,35.0,55.00000000000001,51.94
119093,Axis Bluechip Fund - Direct - Growth,20.81,-0.09,7.61,-21.75,0.75,62.5,32.5,32.5,25.0,82.5,48.25
102887,UTI Flexi Cap Fund - Regular - Growth,25.55,0.36,14.81,-21.54,1.64,70.0,47.5,45.0,27.500000000000004,3.75,45.19
149322,DSP Top 100 Equity Fund - Regular - Growth,18.04,0.21,14.03,-14.84,1.54,50.0,41.25,42.5,62.5,26.25,44.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.24,0.08,11.07,-21.12,0.78,37.5,37.5,37.5,30.0,77.5,42.75
118634,Nippon India Small Cap Fund - Regular - Growth,8.01,0.21,17.86,-23.34,1.53,35.0,41.25,62.5,22.5,31.25,40.25
120841,Kotak Bluechip Fund - Regular - Growth,17.26,0.23,12.42,-17.57,1.59,47.5,45.0,40.0,42.5,15.0,40.0
120507,ICICI Pru Liquid Fund - Regular - Growth,7.39,-3.4,6.72,-0.1,0.74,30.0,7.5,22.5,100.0,85.0,38.12
120844,Kotak Liquid Fund - Regular - Growth,6.69,-3.77,6.44,-0.12,0.6,27.500000000000004,5.0,20.0,97.5,95.0,37.5
118636,Nippon India Gilt Securities Fund - Regular - Growth,4.06,-0.85,4.97,-8.32,0.55,20.0,12.5,10.0,87.5,100.0,34.88
