amfi_code,scheme_name,annualized_return,annualized_return_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.01812064951462755,1.81
100025,HDFC Short Term Debt Fund - Regular - Growth,0.03055034222790054,3.06
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.19921655341786937,19.92
101206,ABSL Frontline Equity Fund - Regular - Growth,0.15701133043947202,15.7
101207,ABSL Small Cap Fund - Regular - Growth,0.05412082343718971,5.41
101208,ABSL Liquid Fund - Regular - Growth,0.044467523039841916,4.45
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.12249303405305811,12.25
102886,UTI Mid Cap Fund - Regular - Growth,0.008069711011326364,0.81
102887,UTI Flexi Cap Fund - Regular - Growth,0.11336323837814022,11.34
118632,Nippon India Large Cap Fund - Regular - Growth,0.16031198774659772,16.03
118633,Nippon India Large Cap Fund - Direct - Growth,0.10963342244556129,10.96
118634,Nippon India Small Cap Fund - Regular - Growth,0.11028686693972123,11.03
118635,Nippon India ETF Nifty 50 BeES,0.10754542254469657,10.75
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.036387702009530676,3.64
119092,Axis Bluechip Fund - Regular - Growth,0.04351309541168091,4.35
119093,Axis Bluechip Fund - Direct - Growth,0.05384315930079575,5.38
119094,Axis Midcap Fund - Regular - Growth,0.1870521148627744,18.71
119095,Axis Small Cap Fund - Regular - Growth,0.010472845717320212,1.05
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.040271590894740195,4.03
119551,SBI Bluechip Fund - Regular Plan - Growth,0.1716143006643196,17.16
119552,SBI Bluechip Fund - Direct Plan - Growth,0.14396354506290576,14.4
119598,SBI Small Cap Fund - Regular Plan - Growth,0.21380371259617825,21.38
119599,SBI Small Cap Fund - Direct Plan - Growth,0.014129931609609958,1.41
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.12611234974973562,12.61
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.1554390913284538,15.54
120505,ICICI Pru Midcap Fund - Regular - Growth,0.21635659017888664,21.64
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.11496519378615822,11.5
120507,ICICI Pru Liquid Fund - Regular - Growth,0.04939128073454402,4.94
120841,Kotak Bluechip Fund - Regular - Growth,0.09151266930745594,9.15
120842,Kotak Emerging Equity Fund - Regular - Growth,0.04576968637773482,4.58
120843,Kotak Flexicap Fund - Regular - Growth,0.20419887254007207,20.42
120844,Kotak Liquid Fund - Regular - Growth,0.04721447852372074,4.72
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.12763242123654184,12.76
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.07667267490155338,7.67
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.20462186043324326,20.46
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.15040227218523028,15.04
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.21080437600362334,21.08
149322,DSP Top 100 Equity Fund - Regular - Growth,0.09059091579789302,9.06
149323,DSP Midcap Fund - Regular - Growth,0.19576760600828425,19.58
149324,DSP Small Cap Fund - Regular - Growth,0.21294290275179173,21.29
