amfi_code,scheme_name,HHI_Score,Top_Sector,Top_Sector_Weight
120504,ICICI Pru Bluechip Fund - Direct - Growth,4253.47,Technology,60.54
120506,ICICI Pru Value Discovery Fund - Regular - Growth,3808.34,Healthcare,54.97
102885,UTI Nifty 50 Index Fund - Regular - Growth,3792.13,Consumer Goods,52.97
120843,Kotak Flexicap Fund - Regular - Growth,3748.94,Consumer Goods,51.42
118633,Nippon India Large Cap Fund - Direct - Growth,3304.43,Energy,49.72
101206,ABSL Frontline Equity Fund - Regular - Growth,3269.23,Technology,41.31
119551,SBI Bluechip Fund - Regular Plan - Growth,3254.58,Technology,49.77
119598,SBI Small Cap Fund - Regular Plan - Growth,3212.52,Financials,50.53
119095,Axis Small Cap Fund - Regular - Growth,3202.02,Energy,49.89
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,3174.31,Technology,48.7
119552,SBI Bluechip Fund - Direct Plan - Growth,3114.28,Automobile,45.23
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,3083.36,Consumer Goods,47.6
120841,Kotak Bluechip Fund - Regular - Growth,3081.03,Automobile,40.78
119093,Axis Bluechip Fund - Direct - Growth,3066.8,Technology,43.32
148569,Mirae Asset Tax Saver Fund - Regular - Growth,2877.8,Energy,39.19
148567,Mirae Asset Large Cap Fund - Regular - Growth,2846.78,Energy,37.01
119094,Axis Midcap Fund - Regular - Growth,2843.71,Technology,37.99
125497,HDFC Top 100 Fund - Direct Plan - Growth,2826.11,Consumer Goods,36.69
101207,ABSL Small Cap Fund - Regular - Growth,2790.52,Energy,39.33
102887,UTI Flexi Cap Fund - Regular - Growth,2779.65,Healthcare,42.31
149322,DSP Top 100 Equity Fund - Regular - Growth,2681.05,Automobile,38.47
120842,Kotak Emerging Equity Fund - Regular - Growth,2673.18,Energy,41.83
120505,ICICI Pru Midcap Fund - Regular - Growth,2567.12,Energy,42.76
149324,DSP Small Cap Fund - Regular - Growth,2528.17,Automobile,31.46
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,2525.46,Energy,38.26
100016,HDFC Top 100 Fund - Regular Plan - Growth,2525.17,Technology,38.1
118632,Nippon India Large Cap Fund - Regular - Growth,2468.7,Technology,29.24
118634,Nippon India Small Cap Fund - Regular - Growth,2349.09,Consumer Goods,36.93
120503,ICICI Pru Bluechip Fund - Regular - Growth,2301.06,Energy,31.64
149323,DSP Midcap Fund - Regular - Growth,2269.19,Financials,29.87
119092,Axis Bluechip Fund - Regular - Growth,2163.39,Consumer Goods,28.25
119599,SBI Small Cap Fund - Direct Plan - Growth,2135.6,Energy,33.7
118635,Nippon India ETF Nifty 50 BeES,2072.55,Consumer Goods,25.48
102886,UTI Mid Cap Fund - Regular - Growth,2015.9,Technology,25.69
