amfi_code,scheme_name,sharpe_ratio
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.16
120843,Kotak Flexicap Fund - Regular - Growth,1.03
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.97
120505,ICICI Pru Midcap Fund - Regular - Growth,0.93
119551,SBI Bluechip Fund - Regular Plan - Growth,0.92
149323,DSP Midcap Fund - Regular - Growth,0.87
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.84
118632,Nippon India Large Cap Fund - Regular - Growth,0.8
101206,ABSL Frontline Equity Fund - Regular - Growth,0.75
119094,Axis Midcap Fund - Regular - Growth,0.74
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.74
149324,DSP Small Cap Fund - Regular - Growth,0.7
119598,SBI Small Cap Fund - Regular Plan - Growth,0.7
119552,SBI Bluechip Fund - Direct Plan - Growth,0.67
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.65
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.53
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.52
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.5
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.39
118635,Nippon India ETF Nifty 50 BeES,0.39
118633,Nippon India Large Cap Fund - Direct - Growth,0.38
102887,UTI Flexi Cap Fund - Regular - Growth,0.36
120841,Kotak Bluechip Fund - Regular - Growth,0.23
118634,Nippon India Small Cap Fund - Regular - Growth,0.21
149322,DSP Top 100 Equity Fund - Regular - Growth,0.21
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.08
101207,ABSL Small Cap Fund - Regular - Growth,-0.05
119093,Axis Bluechip Fund - Direct - Growth,-0.09
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.13
119092,Axis Bluechip Fund - Regular - Growth,-0.18
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.24
119095,Axis Small Cap Fund - Regular - Growth,-0.26
102886,UTI Mid Cap Fund - Regular - Growth,-0.37
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.38
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.74
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.85
100025,HDFC Short Term Debt Fund - Regular - Growth,-1.04
120507,ICICI Pru Liquid Fund - Regular - Growth,-3.4
120844,Kotak Liquid Fund - Regular - Growth,-3.77
101208,ABSL Liquid Fund - Regular - Growth,-4.45
