investor_id,avg_days_between_investments,is_at_risk
INV000002,82.8,True
INV000004,53.4,True
INV000005,52.0,True
INV000006,99.0,True
INV000008,50.3,True
INV000009,80.8,True
INV000010,32.8,False
INV000011,45.2,True
INV000012,41.4,True
INV000013,36.9,True
INV000014,47.1,True
INV000020,57.8,True
INV000021,75.4,True
INV000022,95.8,True
INV000023,45.6,True
INV000024,43.3,True
INV000026,72.3,True
INV000027,58.5,True
INV000028,58.5,True
INV000029,36.4,True
INV000030,38.3,True
INV000031,85.0,True
INV000032,67.7,True
INV000033,46.2,True
INV000038,64.2,True
INV000039,52.9,True
INV000040,51.6,True
INV000041,68.6,True
INV000044,89.0,True
INV000045,39.2,True
INV000046,72.0,True
INV000048,36.8,True
INV000051,63.2,True
INV000052,46.0,True
INV000054,56.0,True
INV000055,36.4,True
INV000056,66.9,True
INV000057,34.8,False
INV000058,56.8,True
INV000062,66.3,True
INV000065,91.8,True
INV000066,40.8,True
INV000069,40.2,True
INV000071,14.3,False
INV000072,46.7,True
INV000073,45.7,True
INV000074,50.8,True
INV000075,62.3,True
INV000076,58.4,True
INV000079,56.1,True
INV000081,48.8,True
INV000082,62.8,True
INV000084,76.5,True
INV000085,52.1,True
INV000086,36.5,True
INV000087,51.6,True
INV000089,49.1,True
INV000090,48.5,True
INV000091,45.6,True
INV000093,49.3,True
INV000094,44.8,True
INV000095,52.4,True
INV000097,45.7,True
INV000098,66.8,True
INV000099,52.4,True
INV000100,61.4,True
INV000101,42.2,True
INV000102,45.7,True
INV000103,63.9,True
INV000104,45.0,True
INV000105,44.3,True
INV000108,45.6,True
INV000109,41.1,True
INV000113,55.6,True
INV000115,94.0,True
INV000117,54.9,True
INV000118,50.6,True
INV000123,44.8,True
INV000124,86.8,True
INV000125,57.2,True
INV000128,45.6,True
INV000129,49.1,True
INV000130,38.2,True
INV000131,37.7,True
INV000132,46.1,True
INV000133,73.5,True
INV000137,41.8,True
INV000138,45.4,True
INV000143,51.3,True
INV000144,73.0,True
INV000145,55.9,True
INV000146,47.7,True
INV000147,58.0,True
INV000148,46.2,True
INV000150,58.0,True
INV000151,66.8,True
INV000153,31.4,False
INV000154,59.1,True
INV000155,55.3,True
INV000156,79.8,True
INV000158,63.7,True
INV000161,54.8,True
INV000163,47.4,True
INV000164,61.8,True
INV000165,58.9,True
INV000166,83.0,True
INV000167,63.0,True
INV000169,41.2,True
INV000173,34.6,False
INV000174,68.3,True
INV000175,45.6,True
INV000177,45.8,True
INV000179,35.8,True
INV000180,47.9,True
INV000181,52.3,True
INV000182,55.2,True
INV000183,41.5,True
INV000189,91.6,True
INV000190,65.7,True
INV000191,42.4,True
INV000192,57.0,True
INV000193,58.2,True
INV000194,33.7,False
INV000195,45.8,True
INV000196,56.8,True
INV000199,64.3,True
INV000200,69.8,True
INV000201,48.7,True
INV000203,39.9,True
INV000204,69.0,True
INV000205,48.7,True
INV000210,61.9,True
INV000211,61.0,True
INV000213,54.0,True
INV000214,52.7,True
INV000215,56.4,True
INV000216,53.0,True
INV000217,46.0,True
INV000220,80.6,True
INV000221,38.4,True
INV000222,45.6,True
INV000223,49.8,True
INV000224,57.5,True
INV000225,53.7,True
INV000226,69.6,True
INV000228,43.5,True
INV000229,46.3,True
INV000230,50.7,True
INV000231,34.1,False
INV000234,81.2,True
INV000235,42.1,True
INV000236,67.1,True
INV000238,52.0,True
INV000239,34.2,False
INV000241,40.9,True
INV000242,49.6,True
INV000243,63.0,True
INV000244,34.0,False
INV000245,46.1,True
INV000249,39.0,True
INV000251,65.0,True
INV000252,36.8,True
INV000255,56.0,True
INV000256,38.5,True
INV000257,53.3,True
INV000259,44.1,True
INV000260,37.9,True
INV000261,50.4,True
INV000262,34.1,False
INV000263,59.9,True
INV000265,43.7,True
INV000266,62.2,True
INV000267,34.5,False
INV000268,43.2,True
INV000270,48.8,True
INV000271,93.6,True
INV000274,89.2,True
INV000276,68.4,True
INV000278,67.0,True
INV000279,31.5,False
INV000280,40.5,True
INV000283,46.5,True
INV000284,63.7,True
INV000286,79.5,True
INV000287,52.4,True
INV000288,57.1,True
INV000289,39.9,True
INV000291,55.6,True
INV000292,35.8,True
INV000293,45.5,True
INV000294,62.3,True
INV000296,58.6,True
INV000297,56.6,True
INV000298,74.0,True
INV000299,48.8,True
INV000301,45.7,True
INV000303,88.4,True
INV000304,53.1,True
INV000305,44.0,True
INV000307,75.7,True
INV000308,82.7,True
INV000309,41.5,True
INV000310,41.4,True
INV000312,68.4,True
INV000314,50.2,True
INV000316,77.0,True
INV000318,69.6,True
INV000319,55.1,True
INV000320,38.2,True
INV000321,44.3,True
INV000323,59.6,True
INV000326,74.4,True
INV000328,29.5,False
INV000330,55.6,True
INV000331,47.7,True
INV000332,64.4,True
INV000333,90.2,True
INV000334,26.6,False
INV000335,48.0,True
INV000337,69.0,True
INV000339,57.1,True
INV000340,25.6,False
INV000341,46.1,True
INV000344,41.2,True
INV000346,52.8,True
INV000349,45.2,True
INV000351,49.6,True
INV000352,64.6,True
INV000354,78.2,True
INV000356,38.9,True
INV000359,48.1,True
INV000360,61.1,True
INV000361,46.0,True
INV000363,66.0,True
INV000366,35.1,True
INV000369,37.7,True
INV000370,93.4,True
INV000371,41.5,True
INV000372,42.9,True
INV000374,55.9,True
INV000377,61.4,True
INV000378,47.0,True
INV000380,80.8,True
INV000383,52.3,True
INV000384,57.8,True
INV000387,48.0,True
INV000388,47.7,True
INV000389,95.0,True
INV000390,52.4,True
INV000392,42.7,True
INV000393,75.3,True
INV000394,44.1,True
INV000395,51.5,True
INV000396,44.6,True
INV000397,87.2,True
INV000399,44.6,True
INV000400,34.8,False
INV000402,47.0,True
INV000403,43.2,True
INV000407,66.7,True
INV000408,55.5,True
INV000410,56.3,True
INV000411,57.4,True
INV000412,38.2,True
INV000413,51.6,True
INV000414,46.4,True
INV000415,52.7,True
INV000417,52.2,True
INV000418,55.6,True
INV000421,80.2,True
INV000425,56.3,True
INV000427,41.1,True
INV000428,48.1,True
INV000429,55.6,True
INV000430,94.6,True
INV000431,59.3,True
INV000432,78.3,True
INV000436,58.4,True
INV000437,61.1,True
INV000439,34.5,False
INV000440,44.8,True
INV000441,60.7,True
INV000444,36.6,True
INV000445,46.2,True
INV000446,40.9,True
INV000449,69.7,True
INV000452,35.9,True
INV000453,42.0,True
INV000454,93.0,True
INV000456,47.4,True
INV000457,41.5,True
INV000458,42.0,True
INV000460,43.1,True
INV000463,43.4,True
INV000466,48.9,True
INV000467,56.7,True
INV000469,38.5,True
INV000473,49.6,True
INV000477,44.7,True
INV000480,56.6,True
INV000481,52.1,True
INV000482,47.0,True
INV000483,49.3,True
INV000485,85.8,True
INV000487,76.5,True
INV000488,75.2,True
INV000491,43.2,True
INV000492,74.3,True
INV000493,38.9,True
INV000494,55.2,True
INV000495,38.5,True
INV000496,54.2,True
INV000497,54.2,True
INV000499,58.4,True
INV000500,52.9,True
INV000505,82.0,True
INV000507,56.4,True
INV000511,62.6,True
INV000512,42.5,True
INV000514,43.1,True
INV000519,74.2,True
INV000520,68.2,True
INV000521,43.2,True
INV000522,45.8,True
INV000523,53.1,True
INV000524,41.2,True
INV000525,49.1,True
INV000526,44.3,True
INV000527,50.2,True
INV000529,41.3,True
INV000531,28.4,False
INV000532,48.3,True
INV000533,65.7,True
INV000535,97.4,True
INV000539,57.8,True
INV000540,48.4,True
INV000543,71.7,True
INV000544,62.3,True
INV000545,50.7,True
INV000546,40.0,True
INV000547,43.7,True
INV000548,67.3,True
INV000549,53.4,True
INV000552,55.1,True
INV000553,60.0,True
INV000554,39.0,True
INV000556,41.3,True
INV000557,88.0,True
INV000558,61.4,True
INV000562,62.0,True
INV000563,41.6,True
INV000566,39.6,True
INV000567,40.5,True
INV000568,39.0,True
INV000569,42.2,True
INV000570,47.1,True
INV000573,27.7,False
INV000575,52.7,True
INV000576,52.8,True
