amfi_code,scheme_name,sortino_ratio
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.62
120843,Kotak Flexicap Fund - Regular - Growth,1.59
148569,Mirae Asset Tax Saver Fund - Regular - Growth,1.43
119551,SBI Bluechip Fund - Regular Plan - Growth,1.37
120505,ICICI Pru Midcap Fund - Regular - Growth,1.35
149323,DSP Midcap Fund - Regular - Growth,1.22
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.19
118632,Nippon India Large Cap Fund - Regular - Growth,1.15
101206,ABSL Frontline Equity Fund - Regular - Growth,1.11
120504,ICICI Pru Bluechip Fund - Direct - Growth,1.11
119094,Axis Midcap Fund - Regular - Growth,1.07
119598,SBI Small Cap Fund - Regular Plan - Growth,1.05
149324,DSP Small Cap Fund - Regular - Growth,1.02
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.98
119552,SBI Bluechip Fund - Direct Plan - Growth,0.96
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.79
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.74
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.73
118633,Nippon India Large Cap Fund - Direct - Growth,0.57
118635,Nippon India ETF Nifty 50 BeES,0.56
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.55
102887,UTI Flexi Cap Fund - Regular - Growth,0.54
120841,Kotak Bluechip Fund - Regular - Growth,0.34
118634,Nippon India Small Cap Fund - Regular - Growth,0.3
149322,DSP Top 100 Equity Fund - Regular - Growth,0.29
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11
101207,ABSL Small Cap Fund - Regular - Growth,-0.07
119093,Axis Bluechip Fund - Direct - Growth,-0.14
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.18
119092,Axis Bluechip Fund - Regular - Growth,-0.26
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.34
119095,Axis Small Cap Fund - Regular - Growth,-0.37
102886,UTI Mid Cap Fund - Regular - Growth,-0.53
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.56
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-1.04
118636,Nippon India Gilt Securities Fund - Regular - Growth,-1.24
100025,HDFC Short Term Debt Fund - Regular - Growth,-1.47
120507,ICICI Pru Liquid Fund - Regular - Growth,-6.71
120844,Kotak Liquid Fund - Regular - Growth,-7.33
101208,ABSL Liquid Fund - Regular - Growth,-8.36
